Date,Prev Close,Open,High,Low,Last,Close,Turnover
20051223,234.95,237,239,230.55,231.05,231.7,8.62431E+11
20051226,231.7,232.1,234.5,229,231.2,230.95,1.49261E+11
20051227,230.95,234,235.7,230.15,230.15,230.4,1.69383E+11
20051228,230.4,235.8,235.8,230.1,232,231.3,86153735000
20051229,231.3,229,235,225.2,225.2,226.7,2.66015E+11
20051230,226.7,229,232,227,230,229.45,1.8004E+11
20060102,229.45,239.5,239.5,224,224.95,224.65,3.45616E+11
20060103,224.65,230,230,224.2,225,225.05,7.7312E+11
20060104,225.05,227,228.5,223,223.15,224.05,2.00795E+12
20060105,224.05,227.5,228,222.05,224,223.9,2.04502E+12
20060106,223.9,225.95,226.5,222.7,223,224.15,1.9384E+12
20060109,224.15,227,230,225,225,225.75,3.43926E+11
20060110,225.75,225.1,226,224,225.9,225.3,9.07264E+11
20060112,225.3,225.5,226.9,223.05,223.15,223.6,5.51296E+11
20060113,223.6,225,225.95,223.05,223.1,223.9,3.86174E+11
20060116,223.9,224,224,220,221.45,220.85,82153555000
20060117,220.85,221,224,220,220.15,220.45,1.32677E+11
20060118,220.45,219,224,216.65,219.9,219,1.09421E+11
20060119,219,219,220,216,217.55,217.6,1.36199E+11
20060120,217.6,218.2,220,218,218,219.3,1.41077E+11
20060123,219.3,220,220,217.3,220,218.9,63406050000
20060124,218.9,219,219.5,216,217.75,217.95,1.31499E+11
20060125,217.95,220,255,220,237,238.95,2.24741E+12
20060127,238.95,249.95,250.9,235,236,237.15,1.05235E+12
20060130,237.15,237.15,240,224,224,226,3.17597E+11
20060131,226,224,227.8,218,219,220.9,3.78174E+11
20060201,220.9,226.6,226.65,215,216.5,217.45,5.49646E+11
20060202,217.45,218,220,216.35,216.5,217,1.70181E+11
20060203,217,202,217,202,211,211.45,1.83289E+11
20060206,211.45,212.1,214.8,208,210.7,212.35,1.29562E+11
20060207,212.35,219.9,219.9,209.1,210,210.5,1.81967E+11
20060208,210.5,210.05,214.9,208,209.2,209.7,2.47228E+11
20060210,209.7,213.8,214,210,210,211.5,1.4469E+11
20060213,211.5,210.1,217.95,210.1,213,211,2.79287E+11
20060214,211,217.8,217.85,210.55,211,211.65,6.53338E+11
20060215,211.65,216.3,216.3,211,211,211.65,3.34516E+11
20060216,211.65,213.7,215,212.1,215,214.3,1.5422E+11
20060217,214.3,214.9,216.05,210,214.35,211.45,3.77764E+11
20060220,211.45,213.5,214.45,210.15,213,211.35,1.53089E+11
20060221,211.35,210.2,218,210.2,215,213.95,1.72698E+11
20060222,213.95,210.55,221,210.55,217.5,218.95,6.64785E+11
20060223,218.95,223,231,219,226,226.1,1.08894E+12
20060224,226.1,223,233,223,230,230.65,5.50389E+11
20060227,230.65,238,275,233,255.4,255.15,1.44366E+13
20060228,255.15,257,260,243.1,260,254.7,5.06883E+12
20060301,254.7,242,264.8,242,250,252.95,3.17762E+12
20060302,252.95,250.25,256.6,248,250,251.5,2.82581E+12
20060303,251.5,252,255.95,248,251,249.8,6.63272E+11
20060306,249.8,250.1,263.5,250.1,256.55,258.7,9.81579E+11
20060307,258.7,264,271.95,261,263,263.7,1.75367E+12
20060308,263.7,268,269,258,260.35,260.55,6.25941E+11
20060309,260.55,257.25,263,257.1,260.45,261.25,4.1834E+11
20060310,261.25,263,269.8,260,263.05,265.7,4.49317E+11
20060313,265.7,264,272.4,263,266,265.15,7.39631E+11
20060314,265.15,264,265,262.95,263,263.3,1.28128E+11
20060316,263.3,270,270,262,264.2,263.85,2.19895E+11
20060317,263.85,265,267,260.25,263,264.3,2.89987E+11
20060320,264.3,264,268.9,263,266,266.25,2.49792E+11
20060321,266.25,266,269,260,267,265.65,4.27015E+11
20060322,265.65,263.15,266.85,263,265,265.2,1.4056E+11
20060323,265.2,265,266,264.1,265,265.1,1.02512E+11
20060324,265.1,265,265,263,264.45,263.85,1.459E+11
20060327,263.85,267,267.5,263,266,265.9,6.31981E+11
20060328,265.9,264,265.8,261.15,261.55,262.1,1.10156E+11
20060329,262.1,263,266,261.5,264,265.1,1.38927E+12
20060330,265.1,265.15,269,260,265.05,266.8,4.56689E+11
20060331,266.8,265,320.2,265,304.85,302.35,3.82833E+12
20060403,302.35,315,357.4,313.15,316,316.15,5.27935E+12
20060404,316.15,328.4,328.4,290.85,300.55,304.2,1.43017E+12
20060405,304.2,309.9,314,302,304.5,303.7,5.1218E+11
20060407,303.7,314,314,296.05,297,298.6,3.42761E+11
20060410,298.6,299.1,305,278,292.3,295.1,3.22856E+11
20060412,295.1,300,303,268.1,283.85,280.8,1.09431E+12
20060413,280.8,292.7,295.1,271,280,280.25,4.5447E+11
20060417,280.25,290,311.95,290,308.05,309.3,1.25955E+12
20060418,309.3,319,324,301.1,310.5,309.3,9.09953E+11
20060419,309.3,318,318,306.1,310,310.05,2.99872E+11
20060420,310.05,309,317.9,309,310,312.2,4.82718E+11
